Lac Bruy?re L007,2.42,274.73,429.77,782.6,717.84,102.63,9.55,4.38
Lac Dufresnoy L012,2.42,183.11,257.71,428.86,393.69,71.74,7.52,3.16
Lac Dufresnoy L012,2.42,218.69,288.54,454.07,425.93,120.9,54.14,39.67
Lac Dufresnoy L012,2.42,151.97,221.28,384.65,355.1,76.4,10.51,3.86
Lac Dufresnoy L012,2.42,163.5,235.32,356.41,328.62,57.5,5.91,1.7
Lac Dufresnoy L012,2.42,313.84,390.92,675.54,522.23,164.61,21.65,8.53
Lac Renaud,2.6,77.96,80.83,128.29,65.4,27.26,5.49,2.66
Lac Renaud,2.6,84.5,119.86,186.95,193.5,31.14,6.04,2.5
Lac Renaud,2.6,118.39,123.73,176.72,130.21,96.37,66.54,49.41
Lac Renaud,2.6,42.34,57.29,123.9,69.45,38.18,10.44,5.34
Lac Renaud,2.6,27.03,68.18,150.12,164.32,5.58,-1.22,-0.97
Lac Renaud,2.6,166.56,167.01,203.95,151.12,88.35,18.93,9.16
Lac Renaud,2.6,84.64,89.55,136.12,74.23,34.21,7.34,3.51
Lac Monsabrais L003,2.76,80.81,83.98,75.92,57.08,37.66,13.31,5.97
Lac Monsabrais L003,2.76,115.51,142.61,152.28,162.23,49.03,11.06,8.89
Lac Monsabrais L003,2.76,115.83,118.03,130.05,117.76,110.19,72.49,49.62
Lac Monsabrais L003,2.76,189.05,195.36,206.15,190.76,265.12,160.27,119.09
Lac Monsabrais L003,2.76,124.66,145.72,151.85,160.96,43.43,9.04,8.07
Lac Monsabrais L003,2.76,139.73,132.48,138.74,118.6,89.76,23.01,10.44
Lac Monsabrais L003,2.76,77.18,84.72,79.04,61.4,42.03,14.81,6.86
Lac Francis,2.99,114.72,128.95,193.29,199.29,921.33,482.41,254.61
Lac Ouest Mistaouac L024,2.99,50.35,49.12,48.96,36.15,30.5,9.48,2.68
Lac Ouest Mistaouac L024,2.99,128.13,125.88,126.54,110.43,101.83,26.05,13.07
Lac Ouest Mistaouac L024,2.99,107.05,126.85,148.24,142.55,182.93,114.54,89.33
Lac Ouest Mistaouac L024,2.99,70,82.62,98.52,91.05,123.34,71.29,52.06
Lac Ouest Mistaouac L024,2.99,89.95,94.84,105.25,93.63,126.31,72.41,53.27
Lac Ouest Mistaouac L024,2.99,44.84,54.24,51.12,44.35,25.04,6.75,2.16
Lac Ouest Mistaouac L024,2.99,96.25,103.06,113.19,101.41,95.65,25.14,12.54
Lac Ouest Mistaouac L024,2.99,64.25,71.25,83.37,71.65,61.93,18.78,10.51
Lac Lo??s L073,3.11,180.65,227.03,350.58,400.26,94.7,18.65,13.62
Lac Lo??s L073,3.11,173.27,216.64,331.78,381.89,138.34,69.37,50.81
Lac Lo??s L073,3.11,96.07,155.23,305.68,371.27,84.73,16.55,8.58
Lac Lo??s L073,3.11,263.49,379.01,619.58,741.65,160.02,12.06,8.85
Lac Lo??s L073,3.11,430.97,554.93,844.15,925.78,284.89,37.68,18.78
Lac Mances L067,3.22,102.1,129.04,173.32,180.12,82.41,14.54,7.29
Lac Mances L067,3.22,155.93,169.32,211.32,222.56,138.24,70.43,48.43
Lac Mances L067,3.22,170.89,184.22,211.47,212.48,270.51,162.6,120.35
Lac Mances L067,3.22,79.4,105.1,105.69,114.55,36.52,6.97,3.08
Lac Mances L067,3.22,164.93,165.62,189.51,178.46,108.11,24.12,10.72
Lac Duparquet L029,3.41,158.53,211.57,341.93,403.83,80.8,4.97,1.07
Lac Duparquet L029,3.41,94.19,151.86,306.52,364.91,141.85,48.36,32.85
Lac Duparquet L029,3.41,149.58,217.96,326.93,422.43,74.83,1.25,-0.07
Lac Duparquet L029,3.41,201.24,236.51,367.3,424,113.01,12.41,4.32
Lac Drolet L006,3.8,116.13,107.35,91.87,69.67,66.19,33.98,19.72
Lac Drolet L006,3.8,101.4,109.11,98.22,84.01,41.24,22.93,16.39
Lac Drolet L006,3.8,170.41,166.16,162.83,145.06,130.97,94.22,66.56
Lac Drolet L006,3.8,164.6,159.26,180.73,159.38,218.41,152.28,112.12
Lac Drolet L006,3.8,127.16,124.79,106.32,87.16,41.92,24.02,16.2
Lac Drolet L006,3.8,184.89,171.13,172.48,131.71,113.35,39.73,22.06
Lac Drolet L006,3.8,96.2,94.42,85.55,66.34,65.18,33.11,19.35
Lac DAlembert L011,3.91,95.71,103.54,140.03,149.69,56.94,13.01,6.43
Lac DAlembert L011,3.91,68.82,97.33,134.19,153.17,38.87,7.61,6
Lac DAlembert L011,3.91,130.41,148.14,204.44,218.42,115.38,71.5,50.26
Lac DAlembert L011,3.91,141.11,158.44,223.7,235.5,206.6,116.85,85.51
Lac DAlembert L011,3.91,71.49,95.71,130.42,150.16,31.27,5.64,5.39
Lac DAlembert L011,3.91,212.41,207.17,232.47,205.3,127.68,31.71,17.19
Lac DAlembert L011,3.91,94.29,104.82,142.61,152.71,61.88,13.63,7.34
Lac Dances,4.03,56.12,68.08,48.62,31.77,36.91,13.5,6.27
Lac Dances,4.03,109.08,113.01,111.47,101.69,115.75,75.43,53.32
Lac Dances,4.03,57.34,64.31,69.33,59.97,71.39,31.38,18.5
Lac Dances,4.03,60.05,76.42,52.48,51.77,23.7,10.26,7.21
Lac Dances,4.03,136.14,131.64,120.44,94.23,95.1,26.44,13.44
Lac Ducharme,4.03,58.51,64.05,42.16,22.36,73.84,37.56,21.45
Lac Ducharme,4.03,122.06,126.76,122.62,107.13,177.88,112.73,74.66
Lac Ducharme,4.03,47.23,53.55,51.95,39.03,88.65,38.85,23.46
Lac Ducharme,4.03,74.71,83.23,52.03,35.34,68.18,41.99,25.29
Lac Ducharme,4.03,134.93,130.87,117.33,87.86,141.32,53.41,26.81
Lac Matissard,4.03,97.47,123.23,169.48,161.19,60.39,17.08,9.71
Lac Matissard,4.03,142.73,171.54,219.36,225.62,123.08,74.86,54.52
Lac Matissard,4.03,81.78,116.36,172.11,171.79,90.81,34.24,21.33
Lac Matissard,4.03,72.51,116.28,180.42,225.78,48.21,7.85,5.12
Lac Matissard,4.03,232.67,257.21,329.9,303.28,159.21,38.17,18.57
Lac Nord Mistaouac L022,4.95,67.24,94.99,145.88,229.28,107.37,5.35,1.35
Lac Nord Mistaouac L022,4.95,113.91,121.39,132.73,148.87,93.4,17.29,7.9
Lac Nord Mistaouac L022,4.95,110.05,142.14,203.33,260.8,155.28,72.52,56.05
Lac Nord Mistaouac L022,4.95,70.75,95.89,141.67,192.2,115.01,35.67,24.68
Lac Nord Mistaouac L022,4.95,85.77,105.53,147.13,196.52,116.27,35.93,25.26
Lac Nord Mistaouac L022,4.95,48.31,61.6,61.15,73.49,28.37,1.64,-1.52
Lac Nord Mistaouac L022,4.95,122.31,131.45,143.18,157.14,99.71,19.46,8.8
Lac Nord Mistaouac L022,4.95,76.35,94.65,147.79,210.38,84.3,9.36,3.87
Lac Vaudray,4.95,79.55,77.13,65.51,50.9,42.59,16.59,9.95
Lac Vaudray,4.95,57.7,65.69,51.05,37.52,22.79,4.86,0.76
Lac Vaudray,4.95,78.23,85.64,83.14,70.93,75.42,44.19,31.85
Lac Vaudray,4.95,58.36,65.23,63.84,51.35,48.38,14.35,8.14
Lac Vaudray,4.95,39.24,44.38,30.24,18.37,10.47,1.58,-0.84
Lac Vaudray,4.95,169.14,156.72,131.39,98.27,90.88,24.66,12.61
Lac Vaudray,4.95,68.46,70.38,64.5,51.09,43.6,16.93,10.67
Lac Quasion,5.26,159.88,154.23,121.94,98.67,82.81,24.81,13.37
Lac Quasion,5.26,81.42,88.34,71.04,63.64,49.45,17.58,7.62
