Name,H,S,V,blank,CDOM,comparison,Date,blank,b1/v,b5/v,b1/s,b5/s,b5/(b2*s),B5/(B1*s),b5/(b2*v),b5/(b1*v),b5/b2,b5/b1,b5/(b2*b1),(b5*s)/(b2*v),(b5*s)/(b1*v),(b5*v)/(b2*s),(b5*v)/(b1*s),B5/(V*S),B1/(V*S),H,s,v,s*v,s/v,B1,B2,B3,b4,b5,B6,B7,b3/b1,b2/b1,b3/b2,b4/b1,b4/b2,b4/b3,,B1.Over.B1,B2.Over.B1,B3.Over.B1,B4.Over.B1,B5.Over.B1,B6.Over.B1,B7.Over.B1,B1MinusB1,B2MinusB1,B3MinusB2,B4MinusB3,B5MinusB4,B6MinusB5,B7MinusB6
Lac Sault,161.9025522,20.64176245,0.818823529,,1.73,0.818823529,12.p19r26d283y2013,,129.51,163.55,5.14,6.49,0.05715,0.061,1.441,1.542,1.18,1.26,0.0111,29.74,31.84,0.047,0.05,7.92,6.27,161.9,20.64,0.82,16.9,25.21,106.05,113.52,110.49,94.72,133.92,97.94,67.27,1.04,1.07,0.97,0.89,0.83,0.86,,1,1.07,1.04,0.89,1.26,0.92,0.63,0,7.48,-3.04,-15.77,39.2,-35.98,-30.67
Lac Sault,105.7575324,25.85983315,0.4138739,,1.73,0.4138739,2.p19r26d267y2013,,48.04,183.35,0.77,2.93,0.09563,0.148,5.975,9.221,2.47,3.82,0.1244,154.52,238.46,0.04,0.061,7.09,1.86,105.76,25.86,0.41,10.7,62.48,19.88,30.68,41.39,33.23,75.88,36.92,19.64,2.08,1.54,1.35,1.67,1.08,0.8,,1,1.54,2.08,1.67,3.82,1.86,0.99,0,10.8,10.7,-8.16,42.66,-38.96,-17.28
Lac Sault,217.3927967,48.68626473,0.7509009,,1.73,0.7509009,4.p18r26d295y2014,,84.73,66.56,1.31,1.03,0.01367,0.016,0.886,1.046,0.67,0.79,0.0105,43.16,50.94,0.01,0.012,1.37,1.74,217.39,48.69,0.75,36.56,64.84,63.62,75.09,52.31,38.53,49.98,31.68,16.94,0.82,1.18,0.7,0.61,0.51,0.74,,1,1.18,0.82,0.61,0.79,0.5,0.27,0,11.47,-22.78,-13.77,11.45,-18.31,-14.74
Lac Sault,161.9025522,20.64176245,0.818823529,,1.73,0.818823529,5.p19r26d270y2014,,201.87,185.61,8.01,7.36,0.04553,0.045,1.148,1.123,0.94,0.92,0.0057,23.69,23.18,0.037,0.036,8.99,9.78,161.9,20.64,0.82,16.9,25.21,165.3,161.72,148.5,116.5,151.98,53.9,28.5,0.9,0.98,0.92,0.7,0.72,0.78,,1,0.98,0.9,0.7,0.92,0.33,0.17,0,-3.58,-13.22,-32.01,35.49,-98.08,-25.41
Lac Tast L019,0,0,0,,1.73,0,11.p19r25d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.51,0.0006,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,597.62,810.96,1202.17,1235.83,307.19,24.09,13.38,2.01,1.36,1.48,2.07,1.52,1.03,,1,1.36,2.01,2.07,0.51,0.04,0.02,0,213.35,391.21,33.66,-928.64,-283.1,-10.71
Lac Tast L019,66.97090559,34.95660899,9.011429,,1.73,9.011429,3.p19r25d267y2013,,46.33,16.7,11.94,4.31,0.00735,0.01,0.028,0.04,0.26,0.36,0.0006,1,1.4,0.066,0.093,0.48,1.33,66.97,34.96,9.01,315.01,3.88,417.5,586.13,901.14,864.54,150.51,9.39,3.96,2.16,1.4,1.54,2.07,1.47,0.96,,1,1.4,2.16,2.07,0.36,0.02,0.01,0,168.63,315.01,-36.6,-714.04,-141.12,-5.44
Lac Tast L019,0,0,0,,1.73,0,6.p19r25d235y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.34,0.0006,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,404.95,580.01,923.48,860.81,136.24,5.63,1.74,2.28,1.43,1.59,2.13,1.48,0.93,,1,1.43,2.28,2.13,0.34,0.01,0,0,175.06,343.47,-62.67,-724.57,-130.61,-3.89
Lac Tast L019,0,0,0,,1.73,0,7.p18r25d260y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.35,0.0006,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,435.25,610.49,919.99,891.38,153.67,9.3,6.54,2.11,1.4,1.51,2.05,1.46,0.97,,1,1.4,2.11,2.05,0.35,0.02,0.02,0,175.24,309.5,-28.61,-737.71,-144.37,-2.77
Lac Tast L019,0,0,0,,1.73,0,8.p18r25d295y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.53,0.0007,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,562.59,788.12,1147.98,1214.98,296.18,0.4,-0.66,2.04,1.4,1.46,2.16,1.54,1.06,,1,1.4,2.04,2.16,0.53,0,NA,0,225.53,359.87,67,-918.8,-295.78,-1.06
Lac Mistaouac L023,16.43331121,65.40088966,3.614509804,,1.84,3.614509804,1.p18r26d260y2013,,34.6,13.85,1.91,0.77,0.00403,0.006,0.073,0.111,0.26,0.4,0.0021,4.77,7.24,0.015,0.022,0.21,0.53,16.43,65.4,3.61,236.39,18.09,125.05,189.79,361.45,285.99,50.07,10.59,5.97,2.89,1.52,1.9,2.29,1.51,0.79,,1,1.52,2.89,2.29,0.4,0.08,0.05,0,64.74,171.66,-75.46,-235.92,-39.47,-4.62
Lac Mistaouac L023,16.43331121,65.40088966,3.614509804,,1.84,3.614509804,11.p19r25d270y2014,,76.59,34.53,4.23,1.91,0.00606,0.007,0.11,0.125,0.4,0.45,0.0014,7.17,8.16,0.022,0.025,0.53,1.17,16.43,65.4,3.61,236.39,18.09,276.84,314.76,451.34,385.07,124.8,25.61,14.49,1.63,1.14,1.43,1.39,1.22,0.85,,1,1.14,1.63,1.39,0.45,0.09,0.05,0,37.92,136.59,-66.28,-260.27,-99.19,-11.12
Lac Mistaouac L023,16.43331121,65.40088966,3.614509804,,1.84,3.614509804,12.p19r26d283y2013,,47.82,34.25,2.64,1.89,0.00827,0.011,0.15,0.198,0.54,0.72,0.0031,9.78,12.96,0.03,0.04,0.52,0.73,16.43,65.4,3.61,236.39,18.09,172.85,229.03,381.09,299.99,123.8,65.57,53.05,2.2,1.32,1.66,1.74,1.31,0.79,,1,1.32,2.2,1.74,0.72,0.38,0.31,0,56.17,152.06,-81.09,-176.19,-58.23,-12.52
Lac Mistaouac L023,85.79943279,39.00698922,4.338966,,1.84,4.338966,2.p19r26d267y2013,,48.32,50.22,5.37,5.59,0.02111,0.027,0.19,0.24,0.82,1.04,0.0039,7.4,9.34,0.092,0.116,1.29,1.24,85.8,39.01,4.34,169.25,8.99,209.64,264.65,433.9,361.12,217.9,120.82,95.86,2.07,1.26,1.64,1.72,1.36,0.83,,1,1.26,2.07,1.72,1.04,0.58,0.46,0,55.01,169.25,-72.78,-143.22,-97.08,-24.96
Lac Mistaouac L023,89.36628491,35.97969723,4.605086,,1.84,4.605086,3.p19r25d267y2013,,53.98,49.32,6.91,6.31,0.02141,0.025,0.167,0.198,0.77,0.91,0.0031,6.02,7.14,0.099,0.117,1.37,1.5,89.37,35.98,4.61,165.69,7.81,248.59,294.82,460.51,379.41,227.12,124.27,99.64,1.85,1.19,1.56,1.53,1.29,0.82,,1,1.19,1.85,1.53,0.91,0.5,0.4,0,46.23,165.69,-81.09,-152.29,-102.85,-24.63
Lac Mistaouac L023,64.93997985,38.4488337,3.025517,,1.84,3.025517,4.p18r26d295y2014,,41.61,15.4,3.27,1.21,0.00651,0.01,0.083,0.122,0.25,0.37,0.002,3.18,4.7,0.02,0.029,0.4,1.08,64.94,38.45,3.03,116.33,12.71,125.91,186.22,302.55,292.97,46.6,1.2,-0.14,2.4,1.48,1.62,2.33,1.57,0.97,,1,1.48,2.4,2.33,0.37,0.01,NA,0,60.32,116.33,-9.58,-246.37,-45.41,-1.34
Lac Mistaouac L023,16.43331121,65.40088966,3.614509804,,1.84,3.614509804,5.p19r26d270y2014,,69.48,33.62,3.84,1.86,0.00629,0.007,0.114,0.134,0.41,0.48,0.0016,7.44,8.75,0.023,0.027,0.51,1.06,16.43,65.4,3.61,236.39,18.09,251.13,295.36,432.99,372.27,121.51,25.81,13.72,1.72,1.18,1.47,1.48,1.26,0.86,,1,1.18,1.72,1.48,0.48,0.1,0.05,0,44.23,137.63,-60.72,-250.76,-95.7,-12.09
Lac Mistaouac L023,16.43331121,65.40088966,3.614509804,,1.84,3.614509804,6.p19r25d235y2013,,33.87,16.77,1.87,0.93,0.00556,0.008,0.101,0.137,0.36,0.49,0.003,6.58,8.96,0.02,0.027,0.26,0.52,16.43,65.4,3.61,236.39,18.09,122.44,166.78,309.63,254.58,60.6,8.05,3.2,2.53,1.36,1.86,2.08,1.53,0.82,,1,1.36,2.53,2.08,0.49,0.07,0.03,0,44.34,142.85,-55.05,-193.97,-52.55,-4.85
Lac King of the North,343.264095,10.54773083,1.252941176,,1.84,1.252941176,1.p18r26d260y2013,,92.38,34.82,10.97,4.14,0.03691,0.036,0.311,0.301,0.39,0.38,0.0034,3.28,3.17,0.046,0.045,3.3,8.76,343.26,10.55,1.25,13.22,8.42,115.75,112.08,125.29,76.39,43.63,10.75,4.48,1.08,0.97,1.12,0.66,0.68,0.61,,1,0.97,1.08,0.66,0.38,0.09,0.04,0,-3.67,13.21,-48.9,-32.76,-32.88,-6.27
Lac King of the North,343.264095,10.54773083,1.252941176,,1.84,1.252941176,10.p18r27d295y2014,,56.83,18.36,6.75,2.18,0.02513,0.031,0.212,0.258,0.27,0.32,0.0037,2.23,2.72,0.031,0.038,1.74,5.39,343.26,10.55,1.25,13.22,8.42,71.21,86.81,104.91,91.22,23.01,6.43,4.96,1.47,1.22,1.21,1.28,1.05,0.87,,1,1.22,1.47,1.28,0.32,0.09,0.07,0,15.6,18.1,-13.69,-68.21,-16.58,-1.47
Lac King of the North,343.264095,10.54773083,1.252941176,,1.84,1.252941176,12.p19r26d283y2013,,102.89,87.66,12.22,10.41,0.06985,0.081,0.588,0.68,0.74,0.85,0.0057,6.2,7.17,0.088,0.101,8.31,9.75,343.26,10.55,1.25,13.22,8.42,128.92,149.07,183.53,141.05,109.83,73.74,52.35,1.42,1.16,1.23,1.09,0.95,0.77,,1,1.16,1.42,1.09,0.85,0.57,0.41,0,20.15,34.46,-42.48,-31.23,-36.09,-21.39
Lac King of the North,132.9729664,33.56066014,1.320991,,1.84,1.320991,2.p19r26d267y2013,,66.94,43.74,2.64,1.72,0.01769,0.019,0.449,0.495,0.59,0.65,0.0067,15.08,16.6,0.023,0.026,1.3,1.99,132.97,33.56,1.32,44.33,25.41,88.43,97.35,132.1,87.77,57.78,20.19,12.5,1.49,1.1,1.36,0.99,0.9,0.66,,1,1.1,1.49,0.99,0.65,0.23,0.14,0,8.92,34.75,-44.33,-29.98,-37.59,-7.68
Lac King of the North,137.4877457,15.45769648,1.071802,,1.84,1.071802,4.p18r26d295y2014,,81.05,18.45,5.62,1.28,0.0134,0.015,0.193,0.212,0.21,0.23,0.0024,2.99,3.28,0.014,0.016,1.19,5.24,137.49,15.46,1.07,16.57,14.42,86.87,95.44,107.18,90.61,19.77,5.31,4.32,1.23,1.1,1.12,1.04,0.95,0.85,,1,1.1,1.23,1.04,0.23,0.06,0.05,0,8.57,11.74,-16.57,-70.84,-14.47,-0.99
Lac King of the North,343.264095,10.54773083,1.252941176,,1.84,1.252941176,5.p19r26d270y2014,,116.27,68.54,13.81,8.14,0.05639,0.056,0.475,0.47,0.59,0.59,0.0041,5.01,4.96,0.071,0.07,6.5,11.02,343.26,10.55,1.25,13.22,8.42,145.68,144.37,168.69,116.65,85.87,21.68,9.91,1.16,0.99,1.17,0.8,0.81,0.69,,1,0.99,1.16,0.8,0.59,0.15,0.07,0,-1.31,24.32,-52.05,-30.77,-64.19,-11.77
Lac King of the North,343.264095,10.54773083,1.252941176,,1.84,1.252941176,9.p18r27d260y2013,,76.17,33.39,9.05,3.97,0.04024,0.042,0.339,0.35,0.42,0.44,0.0044,3.57,3.69,0.05,0.052,3.17,7.22,343.26,10.55,1.25,13.22,8.42,95.43,98.58,116.63,72.28,41.84,11.37,4.27,1.22,1.03,1.18,0.76,0.73,0.62,,1,1.03,1.22,0.76,0.44,0.12,0.04,0,3.14,18.05,-44.35,-30.44,-30.47,-7.1
Lac Akif,0,0,0,,1.96,0,10.p18r27d295y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.43,0.0038,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,76.9,112.05,176.41,150.76,32.85,6.21,0.08,2.29,1.46,1.57,1.96,1.35,0.85,,1,1.46,2.29,1.96,0.43,0.08,0,0,35.15,64.36,-25.65,-117.91,-26.65,-6.13
Lac Akif,0,0,0,,1.96,0,12.p19r26d283y2013,,NA,NA,NA,NA,NA,NA,NA,NA,1.01,1.17,0.0082,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,123.22,142.37,209.56,182.33,144.05,99.1,72.8,1.7,1.16,1.47,1.48,1.28,0.87,,1,1.16,1.7,1.48,1.17,0.8,0.59,0,19.15,67.19,-27.24,-38.28,-44.95,-26.3
Lac Akif,90.3527581,36.78972386,1.534273,,1.96,1.534273,2.p19r26d267y2013,,57.67,39.12,2.41,1.63,0.01682,0.018,0.403,0.442,0.62,0.68,0.007,14.84,16.27,0.026,0.028,1.06,1.57,90.35,36.79,1.53,56.45,23.98,88.48,96.98,153.43,124.87,60.03,13.28,7.62,1.73,1.1,1.58,1.41,1.29,0.81,,1,1.1,1.73,1.41,0.68,0.15,0.09,0,8.5,56.45,-28.55,-64.85,-46.75,-5.66
Lac Akif,0,0,0,,1.96,0,5.p19r26d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.59,0.0034,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,166.05,176.05,262.89,210.15,98.45,16.55,8.16,1.58,1.06,1.49,1.27,1.19,0.8,,1,1.06,1.58,1.27,0.59,0.1,0.05,0,10,86.84,-52.75,-111.69,-81.91,-8.38
Lac Akif,0,0,0,,1.96,0,9.p18r27d260y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.56,0.006,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,77.64,93.4,140.2,109.81,43.34,9.5,3.24,1.81,1.2,1.5,1.41,1.18,0.78,,1,1.2,1.81,1.41,0.56,0.12,0.04,0,15.76,46.8,-30.39,-66.47,-33.84,-6.26
Lac H?b?court,16.40532867,60.95580405,2.945882353,,2.23,2.945882353,1.p18r26d260y2013,,39.04,19.1,1.89,0.92,0.00562,0.008,0.116,0.166,0.34,0.49,0.003,7.09,10.12,0.017,0.024,0.31,0.64,16.41,60.96,2.95,179.57,20.69,115.02,164.13,294.58,235.8,56.27,6.03,3.52,2.56,1.43,1.79,2.05,1.44,0.8,,1,1.43,2.56,2.05,0.49,0.05,0.03,0,49.11,130.45,-58.78,-179.53,-50.24,-2.5
Lac H?b?court,16.40532867,60.95580405,2.945882353,,2.23,2.945882353,12.p19r26d283y2013,,42.66,32.92,2.06,1.59,0.00983,0.013,0.203,0.262,0.6,0.77,0.0048,12.4,15.97,0.029,0.037,0.54,0.7,16.41,60.96,2.95,179.57,20.69,125.68,161.83,257.13,223.44,96.97,52.65,40.55,2.05,1.29,1.59,1.78,1.38,0.87,,1,1.29,2.05,1.78,0.77,0.42,0.32,0,36.15,95.3,-33.69,-126.47,-44.32,-12.1
Lac H?b?court,77.27102833,54.89762853,1.928174,,2.23,1.928174,2.p19r26d267y2013,,28.89,57.58,1.01,2.02,0.02326,0.036,0.662,1.034,1.28,1.99,0.0229,36.35,56.74,0.045,0.07,1.05,0.53,77.27,54.9,1.93,105.85,28.47,55.71,86.97,192.82,162.35,111.03,70.07,48.25,3.46,1.56,2.22,2.91,1.87,0.84,,1,1.56,3.46,2.91,1.99,1.26,0.87,0,31.25,105.85,-30.47,-51.32,-40.96,-21.82
Lac H?b?court,57.52302859,32.43719107,2.532522,,2.23,2.532522,4.p18r26d295y2014,,45.4,11.14,3.54,0.87,0.00508,0.008,0.065,0.097,0.16,0.25,0.0014,2.11,3.14,0.013,0.019,0.34,1.4,57.52,32.44,2.53,82.15,12.81,114.98,171.1,249.86,253.25,28.22,0.17,-0.19,2.17,1.49,1.46,2.2,1.48,1.01,,1,1.49,2.17,2.2,0.25,0,NA,0,56.12,78.76,3.39,-225.03,-28.05,-0.36
Lac H?b?court,16.40532867,60.95580405,2.945882353,,2.23,2.945882353,5.p19r26d270y2014,,53.7,27.23,2.6,1.32,0.00694,0.008,0.144,0.172,0.42,0.51,0.0027,8.75,10.49,0.02,0.025,0.45,0.88,16.41,60.96,2.95,179.57,20.69,158.19,189.71,280.1,267.59,80.21,10.31,4.57,1.77,1.2,1.48,1.69,1.41,0.96,,1,1.2,1.77,1.69,0.51,0.07,0.03,0,31.52,90.38,-12.5,-187.38,-69.9,-5.75
Lac Bruy?re L007,18.10356627,64.2986359,8.020784314,,2.42,8.020784314,1.p18r26d260y2013,,35.7,12.61,4.45,1.57,0.00356,0.005,0.029,0.044,0.23,0.35,0.0008,1.83,2.83,0.029,0.044,0.2,0.56,18.1,64.3,8.02,515.73,8.02,286.36,441.97,802.06,734.03,101.13,8.2,3.61,2.8,1.54,1.81,2.56,1.66,0.92,,1,1.54,2.8,2.56,0.35,0.03,0.01,0,155.61,360.1,-68.03,-632.9,-92.93,-4.59
Lac Bruy?re L007,18.10356627,64.2986359,8.020784314,,2.42,8.020784314,10.p18r27d295y2014,,18.67,12.12,2.33,1.51,0.00627,0.01,0.05,0.081,0.4,0.65,0.0027,3.23,5.2,0.05,0.081,0.19,0.29,18.1,64.3,8.02,515.73,8.02,149.77,241.03,419.03,527.87,97.2,2.05,0.9,2.8,1.61,1.74,3.52,2.19,1.26,,1,1.61,2.8,3.52,0.65,0.01,0.01,0,91.27,177.99,108.84,-430.67,-95.15,-1.16
Lac Bruy?re L007,18.10356627,64.2986359,8.020784314,,2.42,8.020784314,12.p19r26d283y2013,,33.04,18.03,4.12,2.25,0.00591,0.008,0.047,0.068,0.38,0.55,0.0014,3.05,4.38,0.047,0.068,0.28,0.51,18.1,64.3,8.02,515.73,8.02,264.99,380.57,660.56,645.25,144.63,59.02,43.22,2.49,1.44,1.74,2.43,1.7,0.98,,1,1.44,2.49,2.43,0.55,0.22,0.16,0,115.58,279.98,-15.3,-500.63,-85.61,-15.8
Lac Bruy?re L007,69.84970425,44.03302938,7.371739,,2.42,7.371739,2.p19r26d267y2013,,37.56,17.48,6.29,2.93,0.00709,0.011,0.042,0.063,0.31,0.47,0.0011,1.87,2.78,0.052,0.078,0.4,0.85,69.85,44.03,7.37,324.6,5.97,276.91,412.57,737.17,683.89,128.87,29.02,19.1,2.66,1.49,1.79,2.47,1.66,0.93,,1,1.49,2.66,2.47,0.47,0.1,0.07,0,135.66,324.6,-53.29,-555.02,-99.85,-9.92
Lac Bruy?re L007,37.18827002,54.17435075,5.472348,,2.42,5.472348,4.p18r26d295y2014,,29.76,17.3,3.01,1.75,0.00697,0.011,0.069,0.106,0.38,0.58,0.0023,3.74,5.75,0.038,0.059,0.32,0.55,37.19,54.17,5.47,296.46,9.9,162.87,250.77,434.52,547.23,94.68,0.72,-0.43,2.67,1.54,1.73,3.36,2.18,1.26,,1,1.54,2.67,3.36,0.58,0,NA,0,87.9,183.75,112.71,-452.56,-93.96,-1.16
Lac Bruy?re L007,18.10356627,64.2986359,8.020784314,,2.42,8.020784314,5.p19r26d270y2014,,42.29,18.24,5.27,2.27,0.00496,0.007,0.04,0.054,0.32,0.43,0.0009,2.55,3.46,0.04,0.054,0.28,0.66,18.1,64.3,8.02,515.73,8.02,339.17,459.01,765.15,700.27,146.27,17.26,7.3,2.26,1.35,1.67,2.06,1.53,0.92,,1,1.35,2.26,2.06,0.43,0.05,0.02,0,119.83,306.14,-64.88,-554,-129.01,-9.97
Lac Bruy?re L007,18.10356627,64.2986359,8.020784314,,2.42,8.020784314,9.p18r27d260y2013,,34.25,12.8,4.27,1.6,0.00371,0.006,0.03,0.047,0.24,0.37,0.0009,1.91,2.99,0.03,0.047,0.2,0.53,18.1,64.3,8.02,515.73,8.02,274.73,429.77,782.6,717.84,102.63,9.55,4.38,2.85,1.56,1.82,2.61,1.67,0.92,,1,1.56,2.85,2.61,0.37,0.03,0.02,0,155.04,352.83,-64.76,-615.22,-93.08,-5.17
Lac Dufresnoy L012,18.21924366,57.30614484,4.288627451,,2.42,4.288627451,1.p18r26d260y2013,,42.7,16.73,3.2,1.25,0.00486,0.007,0.065,0.091,0.28,0.39,0.0015,3.72,5.24,0.021,0.029,0.29,0.75,18.22,57.31,4.29,245.76,13.36,183.11,257.71,428.86,393.69,71.74,7.52,3.16,2.34,1.41,1.66,2.15,1.53,0.92,,1,1.41,2.34,2.15,0.39,0.04,0.02,0,74.6,171.15,-35.17,-321.95,-64.22,-4.36
Lac Dufresnoy L012,18.21924366,57.30614484,4.288627451,,2.42,4.288627451,12.p19r26d283y2013,,50.99,28.19,3.82,2.11,0.00731,0.01,0.098,0.129,0.42,0.55,0.0019,5.6,7.39,0.031,0.041,0.49,0.89,18.22,57.31,4.29,245.76,13.36,218.69,288.54,454.07,425.93,120.9,54.14,39.67,2.08,1.32,1.57,1.95,1.48,0.94,,1,1.32,2.08,1.95,0.55,0.25,0.18,0,69.85,165.53,-28.14,-305.03,-66.77,-14.47
Lac Dufresnoy L012,70.8525286,42.47235009,3.846486,,2.42,3.846486,2.p19r26d267y2013,,39.51,19.86,3.58,1.8,0.00813,0.012,0.09,0.131,0.35,0.5,0.0023,3.81,5.55,0.031,0.046,0.47,0.93,70.85,42.47,3.85,163.37,11.04,151.97,221.28,384.65,355.1,76.4,10.51,3.86,2.53,1.46,1.74,2.34,1.6,0.92,,1,1.46,2.53,2.34,0.5,0.07,0.03,0,69.31,163.37,-29.55,-278.7,-65.88,-6.65
Lac Dufresnoy L012,73.76683973,33.97538309,3.564054,,2.42,3.564054,4.p18r26d295y2014,,45.87,16.13,4.81,1.69,0.00719,0.01,0.069,0.099,0.24,0.35,0.0015,2.33,3.35,0.026,0.037,0.47,1.35,73.77,33.98,3.56,121.09,9.53,163.5,235.32,356.41,328.62,57.5,5.91,1.7,2.18,1.44,1.51,2.01,1.4,0.92,,1,1.44,2.18,2.01,0.35,0.04,0.01,0,71.82,121.09,-27.78,-271.13,-51.59,-4.21
Lac Dufresnoy L012,18.21924366,57.30614484,4.288627451,,2.42,4.288627451,5.p19r26d270y2014,,73.18,38.38,5.48,2.87,0.00735,0.009,0.098,0.122,0.42,0.52,0.0013,5.63,7.01,0.032,0.039,0.67,1.28,18.22,57.31,4.29,245.76,13.36,313.84,390.92,675.54,522.23,164.61,21.65,8.53,2.15,1.25,1.73,1.66,1.34,0.77,,1,1.25,2.15,1.66,0.52,0.07,0.03,0,77.08,284.62,-153.32,-357.61,-142.96,-13.12
Lac Renaud,3.413873733,39.22347906,1.282745098,,2.6,1.282745098,1.p18r26d260y2013,,60.78,21.25,1.99,0.69,0.0086,0.009,0.263,0.273,0.34,0.35,0.0043,10.31,10.69,0.011,0.011,0.54,1.55,3.41,39.22,1.28,50.31,30.58,77.96,80.83,128.29,65.4,27.26,5.49,2.66,1.65,1.04,1.59,0.84,0.81,0.51,,1,1.04,1.65,0.84,0.35,0.07,0.03,0,2.87,47.46,-62.89,-38.14,-21.77,-2.82
Lac Renaud,3.413873733,39.22347906,1.282745098,,2.6,1.282745098,10.p18r27d295y2014,,65.87,24.28,2.15,0.79,0.00662,0.009,0.203,0.287,0.26,0.37,0.0031,7.94,11.27,0.008,0.012,0.62,1.68,3.41,39.22,1.28,50.31,30.58,84.5,119.86,186.95,193.5,31.14,6.04,2.5,2.21,1.42,1.56,2.29,1.61,1.04,,1,1.42,2.21,2.29,0.37,0.07,0.03,0,35.36,67.09,6.55,-162.35,-25.11,-3.54
Lac Renaud,3.413873733,39.22347906,1.282745098,,2.6,1.282745098,12.p19r26d283y2013,,92.29,75.13,3.02,2.46,0.01986,0.021,0.607,0.635,0.78,0.81,0.0066,23.82,24.89,0.025,0.027,1.92,2.35,3.41,39.22,1.28,50.31,30.58,118.39,123.73,176.72,130.21,96.37,66.54,49.41,1.49,1.05,1.43,1.1,1.05,0.74,,1,1.05,1.49,1.1,0.81,0.56,0.42,0,5.34,52.99,-46.5,-33.84,-29.83,-17.13
Lac Renaud,109.0474378,53.76045881,1.239027,,2.6,1.239027,2.p19r26d267y2013,,34.17,30.81,0.79,0.71,0.01239,0.017,0.538,0.728,0.67,0.9,0.0157,28.91,39.13,0.015,0.021,0.57,0.64,109.05,53.76,1.24,66.61,43.39,42.34,57.29,123.9,69.45,38.18,10.44,5.34,2.93,1.35,2.16,1.64,1.21,0.56,,1,1.35,2.93,1.64,0.9,0.25,0.13,0,14.96,66.61,-54.45,-31.27,-27.73,-5.11
Lac Renaud,51.13582558,58.50926797,1.643186,,2.6,1.643186,4.p18r26d295y2014,,16.45,3.39,0.46,0.1,0.0014,0.004,0.05,0.126,0.08,0.21,0.003,2.91,7.35,0.002,0.006,0.06,0.28,51.14,58.51,1.64,96.14,35.61,27.03,68.18,150.12,164.32,5.58,-1.22,-0.97,5.55,2.52,2.2,6.08,2.41,1.09,,1,2.52,5.55,6.08,0.21,NA,NA,0,41.15,81.94,14.2,-158.74,-6.8,0.25
Lac Renaud,3.413873733,39.22347906,1.282745098,,2.6,1.282745098,5.p19r26d270y2014,,129.84,68.88,4.25,2.25,0.01349,0.014,0.412,0.414,0.53,0.53,0.0032,16.18,16.22,0.017,0.017,1.76,3.31,3.41,39.22,1.28,50.31,30.58,166.56,167.01,203.95,151.12,88.35,18.93,9.16,1.22,1,1.22,0.91,0.9,0.74,,1,1,1.22,0.91,0.53,0.11,0.05,0,0.45,36.94,-52.83,-62.76,-69.42,-9.77
Lac Renaud,3.413873733,39.22347906,1.282745098,,2.6,1.282745098,9.p18r27d260y2013,,65.98,26.67,2.16,0.87,0.00974,0.01,0.298,0.315,0.38,0.4,0.0045,11.68,12.36,0.012,0.013,0.68,1.68,3.41,39.22,1.28,50.31,30.58,84.64,89.55,136.12,74.23,34.21,7.34,3.51,1.61,1.06,1.52,0.88,0.83,0.55,,1,1.06,1.61,0.88,0.4,0.09,0.04,0,4.91,46.58,-61.89,-40.02,-26.88,-3.82
Lac Monsabrais L003,156.407767,9.617180205,0.84,,2.76,0.84,1.p18r26d260y2013,,96.2,44.84,8.4,3.92,0.04663,0.048,0.534,0.555,0.45,0.47,0.0056,5.13,5.34,0.039,0.041,4.66,10,156.41,9.62,0.84,8.08,11.45,80.81,83.98,75.92,57.08,37.66,13.31,5.97,0.94,1.04,0.9,0.71,0.68,0.75,,1,1.04,0.94,0.71,0.47,0.16,0.07,0,3.18,-8.06,-18.84,-19.42,-24.35,-7.34
Lac Monsabrais L003,156.407767,9.617180205,0.84,,2.76,0.84,10.p18r27d295y2014,,137.52,58.36,12.01,5.1,0.03575,0.044,0.409,0.505,0.34,0.42,0.003,3.94,4.86,0.03,0.037,6.07,14.3,156.41,9.62,0.84,8.08,11.45,115.51,142.61,152.28,162.23,49.03,11.06,8.89,1.32,1.23,1.07,1.4,1.14,1.07,,1,1.23,1.32,1.4,0.42,0.1,0.08,0,27.1,9.67,9.95,-113.2,-37.96,-2.17
